,sno,DISTRICT,NAME,WINNERCANDIDATE,WINNERPARTY,WINNERVOTES,WINNERPERCENTAGE,RUNNERUPVOTES,RUNNERUPCANDIDATE,RUNNERUPPARTY,RUNNERUPPERCENTAGE,MARGIN,percentage_margin,POLLING_ON
362,363,Ballia District,Bairia,Jai Prakash Anchal,SP,71241,40.33,58290,Anand Swarup Shukla,BJP,33,12951,7.33,3 March 2022
363,364,Jaunpur District,Badlapur,Ramesh Chandra Mishra,BJP,82391,39.72,81065,Baba Dubey,SP,39.08,1326,0.64,7 March 2022
364,365,Jaunpur District,Shahganj,Ramesh,NISHAD,87233,36.21,86514,Shailendra Yadav Lalai,SP,35.91,719,0.3,7 March 2022
365,366,Jaunpur District,Jaunpur,Girish Yadav,BJP,97760,39.35,89708,Mohd. Arshad Khan,SP,36.11,8052,3.24,7 March 2022
366,367,Jaunpur District,Malhani,Lucky Yadav,SP,97357,42.57,79830,Dhananjay Singh,JD(U),34.91,17527,7.66,7 March 2022
367,368,Jaunpur District,Mungra Badshahpur,Pankaj,SP,92048,41.9,86818,Ajay Dubey,BJP,39.52,5230,2.38,7 March 2022
368,369,Jaunpur District,Machhlishahr (SC),Dr. Ragini,SP,91659,41.99,83175,Mihilal Gautam,BJP,38.1,8484,3.89,7 March 2022
369,370,Jaunpur District,Mariyahu,Dr. RK Patel,AD(S),76007,39.25,74801,Sushma Patel,SP,38.62,1206,0.63,7 March 2022
370,371,Jaunpur District,Zafrabad,Jagdish Narayan,SBSP,90620,40.57,84328,Harendra Prasad Singh,BJP,37.76,6292,2.81,7 March 2022
371,372,Jaunpur District,Kerakat (SC),Toofani Saroj,SP,94022,39.13,84178,Dinesh Choudhary,BJP,35.04,9844,4.09,7 March 2022
372,373,Ghazipur District,Jakhanian (SC),Bedi,SBSP,113378,44.53,76513,Ramraj Vanvasi,BJP,30.05,36865,14.48,7 March 2022
373,374,Ghazipur District,Saidpur (SC),Ankit Bharti,SP,109711,46.36,73076,Subhash Passi,BJP,30.88,36635,15.48,7 March 2022
374,375,Ghazipur District,Ghazipur Sadar,Jai Kishan,SP,92472,40.81,90780,Sangeeta Balwant Bind,BJP,40.06,1692,0.75,7 March 2022
375,376,Ghazipur District,Jangipur,Veerendra Yadav,SP,103125,44.75,68062,Ramnaresh Kushwah,BJP,29.53,35063,15.22,7 March 2022
376,377,Ghazipur District,Zahoorabad,Om Prakash Rajbhar,SBSP,114860,46.45,69228,Kalicharan Rajbhar,BJP,21.49,45632,24.96,7 March 2022
377,378,Ghazipur District,Mohammadabad,Munnu Ansari,SP,111443,45.26,92684,Alka Rai,BJP,37.64,18759,7.62,7 March 2022
378,379,Ghazipur District,Zamania,Om Prakash Singh,SP,94695,40.57,72239,Sunita Singh,BJP,30.95,22456,9.62,7 March 2022
379,380,Chandauli District,Mughalsarai,Ramesh Jaiswal,BJP,102216,42.4,87295,Chandra Shekhar Yadav,SP,36.21,14921,6.19,7 March 2022
380,381,Chandauli District,Sakaldiha,Prabhunath Singh,SP,86328,40.7,69667,Suryamuni Tiwari,BJP,32.84,16661,7.86,7 March 2022
381,382,Chandauli District,Saiyadraja,Sushil Singh,BJP,87891,41.85,76974,Manoj Kumar,SP,36.65,10917,5.2,7 March 2022
382,383,Chandauli District,Chakia (SC),Kailash Kharvar,BJP,97812,39.63,88561,Jitendra Kumar,SP,35.88,9251,3.75,7 March 2022
383,384,Varanasi District,Pindra,Awadhesh Kumar Singh,BJP,84325,38.23,48766,Babu Lal,BSP,22.11,35559,16.12,7 March 2022
384,385,Varanasi District,Ajagara (SC),Tribhuwan Ram,BJP,101088,41.25,91928,Sunil Sonkar,SBSP,37.51,9160,3.74,7 March 2022
385,386,Varanasi District,Shivpur,Anil Rajbhar,BJP,115231,45.76,87544,Arvind Rajbhar,SBSP,34.77,27687,10.99,7 March 2022
386,387,Varanasi District,Rohaniya,Dr. Sunil Patel,AD(S),118663,48.08,72191,Abhay Patel,AD(K),29.25,46472,18.83,7 March 2022
387,388,Varanasi District,Varanasi North,Ravindra Jaiswal,BJP,134471,54.61,93695,Ashfaque,SP,38.05,40776,16.56,7 March 2022
388,389,Varanasi District,Varanasi South,Neelkanth Tiwari,BJP,99622,50.88,88900,Kameshwar (Kishan Dixit),SP,45.41,10722,5.47,7 March 2022
389,390,Varanasi District,Varanasi Cantt.,Saurabh Srivastava,BJP,147833,60.63,60989,Pooja Yadav,SP,25.01,86844,35.62,7 March 2022
390,391,Varanasi District,Sevapuri,Neel Ratan Singh Patel,BJP,105163,47.6,82632,Surendra Singh Patel,SP,37.41,22531,10.19,7 March 2022
391,392,Bhadohi District,Bhadohi,Zahid Baig,SP,100738,40.24,95853,Ravindra Tripathi,BJP,38.29,4885,1.95,7 March 2022
392,393,Bhadohi District,Gyanpur,Vipul Dubey,NISHAD,73446,34.12,67215,Ram Kishore Bind,SP,31.23,6231,2.89,7 March 2022
393,394,Bhadohi District,Aurai (SC),Dinanath Bhashkar,BJP,93691,41.69,92044,Smt. Anjani,SP,40.95,1647,0.74,7 March 2022
394,395,Mirzapur District,Chhanbey (SC),Rahul Prakash Kol,AD(S),102502,47.29,64389,Kirti,SP,29.71,38113,17.58,7 March 2022
395,396,Mirzapur District,Mirzapur,Ratnakar Mishra,BJP,118642,52.09,78766,Kailash Chaurasia,SP,34.58,39876,17.51,7 March 2022
396,397,Mirzapur District,Majhawan,Dr. Vinod Kumar Bind,NISHAD,103235,42.07,69648,Rohit Shukla,SP,28.38,33587,13.69,7 March 2022
397,398,Mirzapur District,Chunar,Anurag Singh,BJP,110980,50.26,63366,Ramashankar Prasad Singh,AD(K),28.7,47614,21.56,7 March 2022
398,399,Mirzapur District,Marihan,Ramashankar Patel,BJP,105377,44.51,42466,Narendra Singh Kushwaha,BSP,17.94,62911,26.57,7 March 2022
399,400,Sonbhadra District,Ghorawal,Anil Kumar Maurya,BJP,101277,40.46,77355,Ramesh Chandra Dubey,SP,30.9,23922,9.56,7 March 2022
400,401,Sonbhadra District,Robertsganj,Bhupesh Chaubey,BJP,84496,40.29,78875,Avinash Kushwaha,SP,37.61,5621,2.68,7 March 2022
401,402,Sonbhadra District,Obra (ST),Sanjeev Kumar Gond,BJP,78364,48.04,51922,Arvind Kumar,SP,31.83,26442,16.21,7 March 2022
402,403,Sonbhadra District,Duddhi (ST),Ram Dular Gaur,BJP,84407,41.28,78110,Vijay Singh Gour,SP,38.2,6297,3.08,7 March 2022
